"","date","event.type","count"
"305","2012-02-15","ForkApplyEvent",53
"306","2012-02-15","PullRequestReviewCommentEvent",79
"307","2012-02-16","GistEvent",3289
"308","2012-02-16","PushEvent",49753
"309","2012-02-16","WatchEvent",11425
"310","2012-02-16","CreateEvent",17680
"311","2012-02-16","IssuesEvent",5214
"312","2012-02-16","IssueCommentEvent",8370
"313","2012-02-16","MemberEvent",554
"314","2012-02-16","CommitCommentEvent",1166
"315","2012-02-16","ForkEvent",3195
"316","2012-02-16","FollowEvent",3733
"317","2012-02-16","GollumEvent",2556
"318","2012-02-16","DeleteEvent",1052
"319","2012-02-16","PullRequestEvent",3130
"320","2012-02-16","DownloadEvent",327
"321","2012-02-16","PublicEvent",94
"322","2012-02-16","ForkApplyEvent",103
"323","2012-02-16","PullRequestReviewCommentEvent",517
"324","2012-02-17","PushEvent",47724
"325","2012-02-17","CreateEvent",17217
"326","2012-02-17","IssuesEvent",4868
"327","2012-02-17","WatchEvent",11067
"328","2012-02-17","DownloadEvent",366
"329","2012-02-17","FollowEvent",6168
"330","2012-02-17","IssueCommentEvent",8016
"331","2012-02-17","GollumEvent",2158
"332","2012-02-17","DeleteEvent",1376
"333","2012-02-17","ForkEvent",3225
"334","2012-02-17","PullRequestEvent",11822
"335","2012-02-17","GistEvent",3663
"336","2012-02-17","CommitCommentEvent",1292
"337","2012-02-17","ForkApplyEvent",77
"338","2012-02-17","MemberEvent",533
"339","2012-02-17","PublicEvent",97
"340","2012-02-17","PullRequestReviewCommentEvent",572
"341","2012-02-18","PushEvent",37092
"342","2012-02-18","GistEvent",2053
"343","2012-02-18","IssueCommentEvent",5424
"344","2012-02-18","ForkEvent",2332
"345","2012-02-18","WatchEvent",7585
"346","2012-02-18","CreateEvent",18459
"347","2012-02-18","IssuesEvent",3557
"348","2012-02-18","PullRequestEvent",11953
"349","2012-02-18","FollowEvent",9320
"350","2012-02-18","CommitCommentEvent",703
"351","2012-02-18","GollumEvent",1879
"352","2012-02-18","DownloadEvent",303
"353","2012-02-18","DeleteEvent",571
"354","2012-02-18","MemberEvent",420
"355","2012-02-18","PullRequestReviewCommentEvent",239
"356","2012-02-18","PublicEvent",79
"357","2012-02-18","ForkApplyEvent",50
"358","2012-02-19","IssueCommentEvent",5433
"359","2012-02-19","WatchEvent",7745
"360","2012-02-19","PullRequestEvent",11336
"361","2012-02-19","PushEvent",40242
"362","2012-02-19","IssuesEvent",3628
"363","2012-02-19","DownloadEvent",425
"364","2012-02-19","CreateEvent",19045
"365","2012-02-19","GistEvent",2316
"366","2012-02-19","ForkEvent",2228
"367","2012-02-19","GollumEvent",1867
"368","2012-02-19","MemberEvent",391
"369","2012-02-19","FollowEvent",11621
"370","2012-02-19","CommitCommentEvent",733
"371","2012-02-19","PullRequestReviewCommentEvent",296
"372","2012-02-19","DeleteEvent",661
"373","2012-02-19","PublicEvent",103
"374","2012-02-19","ForkApplyEvent",65
"375","2012-02-20","GollumEvent",2292
"376","2012-02-20","PushEvent",50436
"377","2012-02-20","IssueCommentEvent",8353
"378","2012-02-20","CreateEvent",17809
"379","2012-02-20","WatchEvent",10624
"380","2012-02-20","GistEvent",3420
"381","2012-02-20","IssuesEvent",5817
"382","2012-02-20","ForkEvent",3118
"383","2012-02-20","FollowEvent",2911
"384","2012-02-20","PullRequestEvent",13724
"385","2012-02-20","CommitCommentEvent",1149
"386","2012-02-20","DeleteEvent",1078
"387","2012-02-20","DownloadEvent",372
"388","2012-02-20","ForkApplyEvent",72
"389","2012-02-20","MemberEvent",603
"390","2012-02-20","PublicEvent",109
"391","2012-02-20","PullRequestReviewCommentEvent",484
"392","2012-02-21","CreateEvent",19899
"393","2012-02-21","PushEvent",53876
"394","2012-02-21","GollumEvent",2316
"395","2012-02-21","WatchEvent",11644
"396","2012-02-21","IssuesEvent",7337
"397","2012-02-21","IssueCommentEvent",11249
"398","2012-02-21","PullRequestEvent",18846
"399","2012-02-21","ForkEvent",3492
"400","2012-02-21","GistEvent",3685
"401","2012-02-21","PullRequestReviewCommentEvent",678
"402","2012-02-21","FollowEvent",3217
"403","2012-02-21","DownloadEvent",422
"404","2012-02-21","DeleteEvent",1072
"405","2012-02-21","PublicEvent",123
"406","2012-02-21","CommitCommentEvent",1257
